,Premiere,Other Barter,Cash,Total Rev,Network,COGS Personnel,Dev and Support Tools,Webhosting,Other COGS,Total COGS,Gross Margin,GM %,Personnel,Benefits,Bonus,Recruiting,"Office, Insurance, and Misc Exp",Professional Fees,Travel,Company Meetings,Marketing and Trade Shows,Systems,OPEX,EBITDA,EBTIDA %
1/2026,1287978,92762.61,380673.63,1761414.24,328102.27,402398.37,161768.94,101539.27,33636.9,1027445.75,733968.49,0.4166927196,284491.67,95264.85,64041.66,5000,30450,15000,15000,0,34000,58616.69,601864.87,132103.62,0.07499861021
2/2026,1522820.23,92762.61,380673.63,1996256.47,374861,402398.37,173435.61,101539.27,33636.9,1085871.15,910385.32,0.4560462714,293658.33,98362.88,64041.66,5000,30450,30000,15000,0,41500,58616.69,636629.56,273755.76,0.1371345637
3/2026,2025310.98,92762.61,380673.63,2498747.22,488269.87,444481.7,173435.61,101539.27,33636.9,1241363.35,1257383.87,0.5032057104,302825,101533.71,64041.66,5000,31250,25000,15000,20000,56500,55283.36,676433.73,580950.14,0.2324965628
4/2026,1681121.41,92762.61,398756.96,2172640.98,410644.26,441948.37,165985.69,94848.17,23234.9,1136661.39,1035979.59,0.4768296279,294000,101356.38,64041.66,5000,31250,25000,15000,0,101500,55283.36,692431.4,343548.19,0.1581246939
5/2026,2008381.49,92762.61,398756.96,2499901.06,485868.84,441948.37,165985.69,94848.17,23234.9,1211885.97,1288015.09,0.5152264266,294000,101356.38,64041.66,5000,31250,25000,15000,0,31500,55283.36,622431.4,665583.69,0.2662440129
6/2026,1648353.32,92762.61,398756.96,2139872.89,403341.92,441948.37,165985.69,86514.84,23234.9,1121025.72,1018847.17,0.4761250889,294000,101356.38,64041.66,5000,31250,25000,15000,20000,46500,55283.36,657431.4,361415.77,0.1688959058
7/2026,1750347.9,92762.61,431777.8,2274888.31,426396.16,441948.37,165985.69,86514.84,23234.9,1144079.96,1130808.35,0.4970830194,294000,101356.38,64041.66,5000,31250,15000,15000,0,36500,55283.36,617431.4,513376.95,0.225671277
8/2026,2165396.31,92762.61,431777.8,2689936.72,520083.59,441948.37,165985.69,86514.84,23234.9,1237767.39,1452169.33,0.5398525992,294000,101356.38,64041.66,5000,31250,15000,15000,0,106500,55283.36,687431.4,764737.93,0.2842958811
9/2026,1741518.97,92762.61,431777.8,2266059.38,424422.36,441948.37,165985.69,86514.84,23234.9,1142106.16,1123953.22,0.4959946019,294000,101356.38,64041.66,5000,31250,10000,15000,20000,49956.41,55283.36,645887.81,478065.41,0.2109677329
10/2026,1824299.19,92762.61,470694.46,2387756.26,443129.75,441948.37,165985.69,86514.84,23234.9,1160813.55,1226942.71,0.5138475524,294000,101356.38,64041.66,5000,31250,10000,15000,0,36806.64,55283.36,612738.04,614204.67,0.2572308909
11/2026,2246743.15,92762.61,470694.46,2810200.22,538463.31,441948.37,165985.69,86514.84,23234.9,1256147.11,1554053.11,0.5530044083,294000,101356.38,64041.66,5000,31250,35000,15000,0,36500,54350,636498.04,917555.07,0.3265087888
12/2026,1812226.81,92762.61,470694.46,2375683.88,440376.96,441948.37,165985.69,86514.84,23234.9,1158060.76,1217623.12,0.5125358345,294000,101356.38,64041.66,5000,31250,20000,15000,20000,36500,54350,641498.04,576125.08,0.2425091507
