Month,Product,Product_Count,Signed_Count,Activated_Count,Cancelled_Count,Signed_Value,Activated_Value,Cancelled_Value,Product_Retention,Revenue
9/30/23,FUSION TOTAL,3064,137,140,1,43947.1214,89190.2914,-21264,0.887403237,#DIV/0!
9/30/23,POST,682,1,4,0,4001.16,3613.39,0,0.996918336,#DIV/0!
9/30/23,STREAMING,432,4,3,1,19997.2114,16595.2414,-2100,1,#DIV/0!
9/30/23,SMARTSPEAKERS,317,0,0,0,0,0,0,1,#DIV/0!
9/30/23,MOBILE,276,0,0,0,0,0,0,0.985915493,#DIV/0!
9/30/23,LDR,95,0,0,0,0,0,0,0.7109375,#DIV/0!
9/30/23,AUDIOAI,56,6,3,0,0,46750.67,-19164,n/a,#DIV/0!
9/30/23,Content Automation,,,,,,,,,
9/30/23,TOPICPULSE,967,122,126,0,19948.75,22230.99,0,0.971084337,#DIV/0!
9/30/23,PREP+,239,4,4,0,0,0,0,0.970711297,#DIV/0!
9/30/23,SALES INTELLIGENCE TOTAL,1930,13,26,0,22374.86,22374.86,0,0.963107881,#DIV/0!
9/30/23,SPOTON,17,2,17,0,0,0,0,n/a,#DIV/0!
9/30/23,TOPLINE,1913,11,9,0,22374.86,22374.86,0,0.963107881,#DIV/0!
9/30/23,All Products,4994,150,166,1,66321.9814,111565.1514,-21264,0.972191324,#DIV/0!
10/31/23,FUSION TOTAL,3190,73,62,4,168422.66,91541.75,-13214.91,0.887403237,#DIV/0!
10/31/23,POST,690,11,12,4,1677.14,5678.3,-11633,0.996918336,#DIV/0!
10/31/23,STREAMING,431,0,2,0,0,5472,0,1,#DIV/0!
10/31/23,SMARTSPEAKERS,316,0,0,0,0,0,0,1,#DIV/0!
10/31/23,MOBILE,273,14,1,0,79155.07,0,0,0.985915493,#DIV/0!
10/31/23,LDR,90,0,0,0,0,0,0,0.7109375,#DIV/0!
10/31/23,AUDIOAI,61,6,5,0,7200,1,0,n/a,#DIV/0!
10/31/23,Content Automation,,,,,,,,,
10/31/23,TOPICPULSE,1027,25,25,0,65116.91,65116.91,0,0.971084337,#DIV/0!
10/31/23,PREP+,302,17,17,0,15273.54,15273.54,-1581.91,0.970711297,#DIV/0!
10/31/23,SALES INTELLIGENCE TOTAL,2055,153,140,0,77489.88,67834.21,-35863.82,0.963107881,#DIV/0!
10/31/23,SPOTON,141,132,123,0,40378.18,30722.51,0,n/a,#DIV/0!
10/31/23,TOPLINE,1914,21,17,0,37111.7,37111.7,-35863.82,0.963107881,#DIV/0!
10/31/23,Total,5245,226,202,4,245912.54,159375.96,-49078.73,0.98161276,#DIV/0!
11/30/23,FUSION TOTAL,3196,10,15,12,42723.51,48847.57,-92844.61,0.887403237,#DIV/0!
11/30/23,POST,692,0,0,0,0,0,-5826,0.996918336,#DIV/0!
11/30/23,STREAMING,440,1,0,2,2760,0,-21610.6,1,#DIV/0!
11/30/23,SMARTSPEAKERS,315,0,0,3,0,0,0,1,#DIV/0!
11/30/23,MOBILE,282,2,6,2,16282.45,41647.57,-10712.01,0.985915493,#DIV/0!
11/30/23,LDR,94,1,0,4,8828.02,0,-13894,0.7109375,#DIV/0!
11/30/23,AUDIOAI,67,2,7,1,4200,7200,-37800,n/a,#DIV/0!
11/30/23,Content Automation,,,,,,,,,
11/30/23,TOPICPULSE,1036,1,2,0,10653.04,0,-3002,0.971084337,#DIV/0!
11/30/23,PREP+,270,3,0,0,0,0,0,0.970711297,#DIV/0!
11/30/23,SALES INTELLIGENCE TOTAL,2081,1,27,5,0,9655.67,-46420.92,0.963107881,#DIV/0!
11/30/23,SPOTON,159,0,18,0,0,9655.67,0,n/a,#DIV/0!
11/30/23,TOPLINE,1922,1,9,5,0,0,-46420.92,0.963107881,#DIV/0!
11/30/23,Total,5277,11,42,17,42723.51,58503.24,-139265.53,0.986935341,#DIV/0!
12/31/23,FUSION TOTAL,3137,38,18,130,115976.9,80743.36,-653666.67,0.887403237,#DIV/0!
12/31/23,POST,695,2,1,43,736.95,736.95,-321647,0.996918336,#DIV/0!
12/31/23,STREAMING,383,6,1,45,15989.22,2760,-187637,1,#DIV/0!
12/31/23,SMARTSPEAKERS,315,5,0,0,0,0,0,1,#DIV/0!
12/31/23,MOBILE,284,8,2,0,66467.83,20782.45,0,0.985915493,#DIV/0!
12/31/23,LDR,97,2,3,1,13828.51,22656.53,-14577.91,0.7109375,#DIV/0!
12/31/23,AUDIOAI,77,12,7,9,0,4200,-36000,n/a,#DIV/0!
12/31/23,Content Automation,,,,,,,,,
12/31/23,TOPICPULSE,1022,3,4,23,18954.39,29607.43,-92691.69,0.971084337,#DIV/0!
12/31/23,PREP+,264,0,0,9,0,0,-1113.07,0.970711297,#DIV/0!
12/31/23,SALES INTELLIGENCE TOTAL,2093,153,16,2,2162862.56,16197.56,-18009,0.963107881,#DIV/0!
12/31/23,SPOTON,163,4,4,0,0,0,0,n/a,#DIV/0!
12/31/23,TOPLINE,1930,149,12,2,2162862.56,16197.56,-18009,0.963107881,#DIV/0!
12/31/23,Total,5230,191,34,132,2278839.46,96940.92,-671675.67,0.974069149,#DIV/0!
1/31/24,FUSION TOTAL,3064,9,41,3,58335.98,119725.06,-75767,0.887403237,11218951.86
1/31/24,POST,655,0,1,0,0,0,0,0.996918336,2756440.5
1/31/24,STREAMING,397,5,7,2,21583.89,15989.22,-2073,1,1069454.15
1/31/24,SMARTSPEAKERS,320,0,5,0,0,0,0,1,49945.25
1/31/24,MOBILE,284,0,10,0,0,77335.84,0,0.985915493,1229331.13
1/31/24,LDR,97,0,0,0,0,0,0,0.7109375,621892.85
1/31/24,AUDIOAI,86,4,15,0,36752.09,26400,0,n/a,283660.78
1/31/24,Content Automation,,,,,,,,,
1/31/24,TOPICPULSE,972,0,0,1,0,0,-73694,0.971084337,4665970.93
1/31/24,PREP+,253,0,3,0,0,0,0,0.970711297,542256.27
1/31/24,SALES INTELLIGENCE TOTAL,3215,7,1147,1,22915.05,2596665,-50551,0.963107881,11551072.93
1/31/24,SPOTON,1173,7,1010,0,22915.05,450000,0,n/a,66991.85
1/31/24,TOPLINE,2042,0,137,1,0,2146665,-50551,0.963107881,11484081.08
1/31/24,Total,6279,16,1188,4,81251.03,2716390.06,-126318,0.942913386,22770024.79
2/29/24,FUSION TOTAL,3146,4,9,22,11424.32,65499.79,-353442.8,0.887403237,14106332.81
2/29/24,POST,635,1,1,13,0,0,-312000,0.996918336,3528427.24
2/29/24,STREAMING,395,2,5,3,2940,24523.89,-9937,1,1209112.03
2/29/24,SMARTSPEAKERS,320,0,0,0,0,0,0,1,60752.24
2/29/24,MOBILE,299,0,0,0,0,22139.49,0,0.985915493,1527271.1
2/29/24,LDR,97,1,1,0,8484.32,8484.32,0,0.7109375,743719.25
2/29/24,AUDIOAI,92,0,1,2,0,10352.09,-18000,n/a,460658.7
2/29/24,Content Automation,,,,,,,,,
2/29/24,TOPICPULSE,1012,0,1,4,0,0,-13505.8,0.971084337,5927811.69
2/29/24,PREP+,296,0,0,0,0,0,0,0.970711297,648580.56
2/29/24,SALES INTELLIGENCE TOTAL,3219,1013,13,9,450000,22915.05,-54403,0.963107881,14549581.21
2/29/24,SPOTON,1185,1013,12,0,450000,22915.05,0,n/a,160675.42
2/29/24,TOPLINE,2034,0,1,9,0,0,-54403,0.963107881,14388905.79
2/29/24,Total,6365,1017,22,31,461424.32,88414.84,-407845.8,0.956952217,28655914.02
3/31/24,FUSION TOTAL,3155,18,13,12,33850.1,12289,-60209.87,0.887403237,21612928.35
3/31/24,POST,636,6,4,3,12000,0,-13601,0.996918336,3365275.496
3/31/24,STREAMING,401,1,3,2,0,0,-1802.09,1,1161703.624
3/31/24,SMARTSPEAKERS,317,0,0,1,0,0,0,1,52796.432
3/31/24,MOBILE,297,0,0,1,0,0,-329,0.985915493,1455480.112
3/31/24,LDR,96,0,0,0,0,0,0,0.7109375,733441.192
3/31/24,AUDIOAI,93,4,2,1,14183.47,12289,-27360,n/a,8311408.592
3/31/24,Content Automation,,,,,,,,,
3/31/24,TOPICPULSE,1019,7,4,1,7666.63,0,-12953,0.971084337,5937546.184
3/31/24,PREP+,296,0,0,3,0,0,-4164.78,0.970711297,595276.72
3/31/24,SALES INTELLIGENCE TOTAL,3208,25,6,19,102793.54,0,-296661,0.963107881,14551384.55
3/31/24,SPOTON,1186,13,1,0,57193.06,0,0,n/a,212939.2
3/31/24,TOPLINE,2022,12,5,19,45600.48,0,-296661,0.963107881,14338445.35
3/31/24,Total,6363,43,19,31,136643.64,12289,-356870.87,0.952692714,36164312.9
4/30/24,FUSION TOTAL,3157,46,24,13,195570.7,42627.96,-30325.07,0.887403237,14387057.3
4/30/24,POST,638,0,3,2,0,12000,0,0.996918336,3536746.99
4/30/24,STREAMING,403,0,2,3,0,0,-6086.6,1,1007532.85
4/30/24,SMARTSPEAKERS,318,0,0,0,0,0,0,1,59825.6
4/30/24,MOBILE,298,0,0,0,0,0,0,0.985915493,1326406.23
4/30/24,LDR,95,0,1,1,0,0,-1088.07,0.7109375,718157.48
4/30/24,AUDIOAI,81,3,6,5,21066.86,22961.33,-23150.4,n/a,927763.52
4/30/24,Content Automation,,,,,,,,,
4/30/24,TOPICPULSE,1028,43,11,0,174503.84,7666.63,0,0.971084337,6026733.68
4/30/24,PREP+,296,0,1,2,0,0,0,0.970711297,783890.95
4/30/24,SALES INTELLIGENCE TOTAL,3294,149,80,2,1282346.96,295393.28,-16877.02,0.963107881,14431656.01
4/30/24,SPOTON,1224,75,38,0,585842.1,139185.99,0,n/a,214483.46
4/30/24,TOPLINE,2070,74,42,2,696504.86,156207.29,-16877.02,0.963107881,14217172.55
4/30/24,Total,6451,195,104,15,1477917.66,338021.24,-47202.09,0.952500523,28818713.31
5/31/24,FUSION TOTAL,3198,16,49,33,73062.78,197893.58,-141697.04,0.887403237,13346403.7
5/31/24,POST,635,0,0,5,0,0,-32418,0.996918336,3310863.48
5/31/24,STREAMING,393,3,3,13,7056,7056,-28040.04,1,1131772.7
5/31/24,SMARTSPEAKERS,313,0,0,3,0,0,0,1,55555.48
5/31/24,MOBILE,299,1,1,1,9053.74,9053.74,0,0.985915493,1330337.02
5/31/24,LDR,96,0,0,1,0,0,-2549,0.7109375,714947.6
5/31/24,AUDIOAI,83,3,0,1,49673.04,0,-17940,n/a,539876.95
5/31/24,Content Automation,,,,,,,,,
5/31/24,TOPICPULSE,1073,7,43,8,5460,179963.84,-60750,0.971084337,5468490.66
5/31/24,PREP+,306,2,2,1,1820,1820,0,0.970711297,794559.81
5/31/24,SALES INTELLIGENCE TOTAL,3386,1,100,7,10694.39,1100441.61,-24573.35,0.963107881,13883128.47
5/31/24,SPOTON,1274,0,50,0,0,503849.17,0,n/a,288560.73
5/31/24,TOPLINE,2112,1,50,7,10694.39,596592.44,-24573.35,0.963107881,13594567.74
5/31/24,Total,6584,17,149,40,83757.17,1298335.19,-166270.39,0.950313152,27229532.17
6/30/24,FUSION TOTAL,3190,2,7,3,2760,2760,-30736.96,0.887403237,13830713.38
6/30/24,POST,633,0,0,0,0,0,0,0.996918336,3322794.96
6/30/24,STREAMING,394,1,1,0,2760,2760,0,1,1123037.656
6/30/24,SMARTSPEAKERS,314,0,0,0,0,0,0,1,53063.432
6/30/24,MOBILE,298,0,0,0,0,0,0,0.985915493,1329803.536
6/30/24,LDR,94,0,0,0,0,0,0,0.7109375,698872.912
6/30/24,AUDIOAI,81,0,0,1,0,0,-30000,n/a,557278.4
6/30/24,Content Automation,,,,,,,,,
6/30/24,TOPICPULSE,1072,1,6,1,0,0,-561.4,0.971084337,5993929.056
6/30/24,PREP+,304,0,0,1,0,0,-175.56,0.970711297,751933.432
6/30/24,SALES INTELLIGENCE TOTAL,3375,4,4,0,10192,10192,0,0.963107881,14669579.22
6/30/24,SPOTON,1276,2,2,0,4004,4004,0,n/a,779194.328
6/30/24,TOPLINE,2099,2,2,0,6188,6188,0,0.963107881,13890384.9
6/30/24,Total,6565,6,11,3,12952,12952,-30736.96,0.948322567,28500292.61
